spec,series,pins,positions,skuLink,light,size,imageId
KCD1 2脚2档 红色 铜脚 （2个）,KCD1,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3771562397627,无灯,21*15mm,3771562397627
KCD1 2脚2档 黑色 铜脚（2个）,KCD1,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3771562397626,无灯,21*15mm,3771562397626
KCD1 2脚2档 白色  铜脚（2个）,KCD1,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3771562397628,无灯,21*15mm,3771562397628
KCD1 3脚2档 红灯 铜脚（2个）,KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3942233594085,带灯,21*15mm,3942233594085
KCD1 3脚2档 红色 铜脚（2个）,KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3943709202482,无灯,21*15mm,3943709202482
KCD1 3脚2档 绿灯 铜脚（2个）,KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3943709202486,带灯,21*15mm,3943709202486
KCD1 3脚2档 黑色 铜脚（5个）,KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3942233594087,无灯,21*15mm,3942233594087
KCD1 3脚3档 黑色 铜脚 (5个）,KCD1,3,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=3942233594089,无灯,21*15mm,3942233594089
KCD1 4脚2档 红灯 铜脚（2个）,KCD1,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3942233594088,带灯,21*15mm,3942233594088
KCD1 4脚2档 黑色 铜脚（2个）,KCD1,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3943709202484,无灯,21*15mm,3943709202484
KCD1 4脚2档 绿色 铜脚（2个）,KCD1,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3943709202485,无灯,21*15mm,3943709202485
KCD1 6脚2档 黑色  铜脚（1个）,KCD1,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3943709202487,无灯,21*15mm,3943709202487
KCD1 6脚3档 黑色  铜脚（1个）,KCD1,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=3942233594086,无灯,21*15mm,3942233594086
KCD1 4脚2档 黑色弯针 无灯铜脚（1个）,KCD1,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=3943709202483,无灯,21*15mm,3943709202483
KCD1 2档3脚 铜脚弯针黑色 6A 250V（5个）,KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4380747938321,无灯,21*15mm,4380747938321
KCD1 2脚2档左脚弯针黑 3A 250V（2个）,KCD1,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109603,无灯,21*15mm,4919743109603
船型开关 17.5*12.3MM 有档开关带线（1个）,KCD1,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109703,无灯,21*15mm,4919743109703
KCD3 船型开关 2档2脚红色无灯 （1个）,KCD3,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4394192173817,无灯,31*13.5mm,4394192173817
KCD3   2档2脚黑色无灯(2个）,KCD3,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4565544579742,无灯,31*13.5mm,4565544579742
KCD3 两档3脚 黑色红灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4394192173810,带灯,31*13.5mm,4394192173810
KCD3 两档3脚 白色红灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4394192173813,带灯,31*13.5mm,4394192173813
KCD3 两档3脚 黑底绿灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4394192173811,带灯,31*13.5mm,4394192173811
KCD3 3500W 2挡3脚黑底带红灯 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4394192173816,带灯,31*13.5mm,4394192173816
KCD3 两档3脚 黑色不带灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4394192173815,无灯,31*13.5mm,4394192173815
KCD4 4脚2档红灯 1个,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109653,带灯,31*25mm,4919743109653
KCD4 4脚2档绿灯 1个,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109654,带灯,31*25mm,4919743109654
KCD4 4脚2档黄灯(2个),KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109655,带灯,31*25mm,4919743109655
KCD4 4脚2档蓝灯(2个),KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109656,带灯,31*25mm,4919743109656
KCD4 4脚2档黑色 1个,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109657,无灯,31*25mm,4919743109657
KCD4 6脚2档红灯 1个,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109658,带灯,31*25mm,4919743109658
KCD4 6脚2档绿灯 1个,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109659,带灯,31*25mm,4919743109659
KCD4 6脚2档黑色 1个,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109660,无灯,31*25mm,4919743109660
KCD4 6脚3档红灯（1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109661,带灯,31*25mm,4919743109661
KCD4 6脚3档绿灯（1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109662,带灯,31*25mm,4919743109662
KCD4 6脚3档黑色（1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109663,无灯,31*25mm,4919743109663
6脚2档双联（1个）,KCD6,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109664,带灯,31*25mm,4919743109664
KCD4 6脚3档双联（1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109665,无灯,31*25mm,4919743109665
KCD4 双边自复位带箭头6脚铜脚（1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=5795473739667,无灯,31*25mm,5795473739667
KCD4 220V猫眼红灯2档4脚铜脚（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109667,带灯,31*25mm,4919743109667
KCD4 220V猫眼黄灯2档4脚铜脚（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109668,带灯,31*25mm,4919743109668
KCD4 220V猫眼蓝灯2档4脚铜脚（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109669,带灯,31*25mm,4919743109669
KCD4 220V猫眼绿灯2档4脚铜脚（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109670,带灯,31*25mm,4919743109670
KCD4 30A开关 2档4脚 黄色带灯（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109671,带灯,31*25mm,4919743109671
KCD4 30A开关 2档4脚 绿色带灯（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=5795480395669,带灯,31*25mm,5795480395669
KCD4 30A开关 2档4脚 蓝色带灯（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109673,带灯,31*25mm,4919743109673
KCD4 30A开关 2档4脚 白底红色带灯（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109674,带灯,31*25mm,4919743109674
KCD4 30A开关 2档4脚 白底绿色带灯（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109675,带灯,31*25mm,4919743109675
KCD4 30A开关 2档6脚 红色带灯（1个）,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109676,带灯,31*25mm,4919743109676
2脚2档 红色 KCD11 10x15mm（5个）,KCD11,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109681,无灯,15*10mm,4919743109681
2脚2档 白色 KCD11 10x15mm（5个）,KCD11,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109682,无灯,15*10mm,4919743109682
